id,created_at,full_text,media,screen_name,name,profile_image_url,user_id,in_reply_to,retweeted_status,quoted_status,media_tags,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url
"2042858801330819553","2026-04-11 14:54:27 +08:00","@berryxia @Jackywine Web clipper 還可以搭配 template 效果更好！\n\nhttps://t.co/VXL3vrBkjl","[]","djdksnel","Snslas","https://pbs.twimg.com/profile_images/1854191071837978624/zvIHQVKs_normal.jpg","1370392009295364096","2042767221513146644",,"2035992085984133460","[]",29,5,43,0,0,6884,true,false,true,"https://twitter.com/djdksnel/status/2042858801330819553"
"2043030159142662308","2026-04-12 02:15:22 +08:00","mouse clicks! 🖱️ https://t.co/ooAV5llwdd","[{""type"":""video"",""url"":""https://t.co/ooAV5llwdd"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2043030079958323201/img/34xux9mJK_mkGMf2.jpg?name=thumb"",""original"":""https://video.twimg.com/amplify_video/2043030079958323201/vid/avc1/1660x1080/xJfYykLKWPgKmR7B.mp4?tag=21""}]","drianlarde_main","adi","https://pbs.twimg.com/profile_images/1999810654719651840/5-oAjO02_normal.jpg","1708349360994762752",,,,"[]",817,15,766,3,22,90779,true,false,true,"https://twitter.com/drianlarde_main/status/2043030159142662308"
"2039938410832654656","2026-04-03 13:29:52 +08:00","疯狂烧了两个星期的 token，终于把 design system 做完了 https://t.co/xu2WhWmhgF","[{""type"":""photo"",""url"":""https://t.co/xu2WhWmhgF"",""thumbnail"":""https://pbs.twimg.com/media/HE9RHCtbAAEvgNT?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/HE9RHCtbAAEvgNT?format=jpg&name=orig""}]","beihuo","北火","https://pbs.twimg.com/profile_images/1871442441250955264/ioqax73S_normal.jpg","209495090",,,,"[]",41,2,33,1,11,16298,true,false,true,"https://twitter.com/beihuo/status/2039938410832654656"
"2042675917927977084","2026-04-11 02:47:44 +08:00","Claude Code 新增了一个叫 ultraplan 的功能：你在终端里发起一个规划任务，Claude 会在云端帮你起草实现方案，你在浏览器里审阅、批注、修改，满意之后选择在云端执行或者拉回本地终端执行。\n\n这个功能解决的是一个很实际的痛点：在终端里审阅一份复杂的实施计划，体验很差。你只能上下滚动，没法针对某一段提意见。ultraplan 把""规划""这件事搬到了浏览器里，你可以像审阅文档一样，对具体段落加批注、打表情、在大纲里跳转，然后让 Claude 根据你的反馈修改方案，反复迭代到满意为止。\n\n用法很简单，在 Claude Code 终端里输入 /ultraplan 加上你的需求描述就行，比如""/ultraplan 把认证服务从 session 迁移到 JWT""。云端会开始分析你的代码库、起草方案，这期间终端不占用，你可以继续干别的活。方案写好后，你在浏览器里审阅，最后二选一：让云端直接执行并开 PR，或者把方案传回终端在本地执行。\n\nAnthropic 工程师 Thariq 说，这个功能的核心思路是：实现代码有时候需要本地环境，但规划本身只需要读代码和理解意图，完全可以放在云端做。ultraplan 消耗的 token 量和本地 plan 模式差不多，不会额外多花钱。\n\n这个功能今天开始对所有开启了 Claude Code 网页版的用户开放预览，需要 Claude Code v2.1.91 或更新版本。","[]","dotey","宝玉","https://pbs.twimg.com/profile_images/561086911561736192/6_g58vEs_normal.jpeg","3178231",,,"2042671370186973589","[]",247,42,211,3,19,52288,true,false,true,"https://twitter.com/dotey/status/2042675917927977084"
"2042661817550541253","2026-04-11 01:51:42 +08:00","The UI era is ending. 🪦\n\nFor 70 years we designed computer interfaces. Mainframe, CLI, GUI, Touch. \n\nBut with AI, the interface is disappearing. What will come next?\n\nMy talk from @mastra's conf this week: https://t.co/VBDoVAzsbV","[{""type"":""video"",""url"":""https://t.co/VBDoVAzsbV"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2042660511746265088/img/yQDj13CLqkDcbJeR.jpg?name=thumb"",""original"":""https://video.twimg.com/amplify_video/2042660511746265088/vid/avc1/1920x1080/Zjn2B92t1gkOFTIH.mp4?tag=21""}]","grinich","Michael Grinich","https://pbs.twimg.com/profile_images/1978687600656580608/m2TFWGlC_normal.jpg","16602665",,,,"[]",1278,147,2295,43,100,179058,true,false,true,"https://twitter.com/grinich/status/2042661817550541253"
"2042639945643495644","2026-04-11 00:24:48 +08:00","Minis TestFlight 上新，现在支持挂载外部文件夹或者 iCloud 目录给 Minis 读写了 https://t.co/q5qKXRIjfr\n\n你可以让 Minis 来帮你管理 Obsidian 笔记，修改 App 配置文件了： https://t.co/Yp4mgBvkYi","[{""type"":""photo"",""url"":""https://t.co/Yp4mgBvkYi"",""thumbnail"":""https://pbs.twimg.com/media/HFjqM8xakAMsaOA?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/HFjqM8xakAMsaOA?format=jpg&name=orig""},{""type"":""photo"",""url"":""https://t.co/Yp4mgBvkYi"",""thumbnail"":""https://pbs.twimg.com/media/HFjqM80bkAASPaI?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/HFjqM80bkAASPaI?format=jpg&name=orig""},{""type"":""photo"",""url"":""https://t.co/Yp4mgBvkYi"",""thumbnail"":""https://pbs.twimg.com/media/HFjqM8zbwAAeeDK?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/HFjqM8zbwAAeeDK?format=jpg&name=orig""},{""type"":""photo"",""url"":""https://t.co/Yp4mgBvkYi"",""thumbnail"":""https://pbs.twimg.com/media/HFjqM8waYAASIdI?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/HFjqM8waYAASIdI?format=jpg&name=orig""}]","wsvn53","Ethan Wang","https://pbs.twimg.com/profile_images/1627963132554678273/C0Pqjnxx_normal.jpg","97830312",,,,"[]",22,1,16,0,4,2797,true,false,true,"https://twitter.com/wsvn53/status/2042639945643495644"
"2042396642809188596","2026-04-10 08:18:00 +08:00","Ghostty 色彩方案生成器，支持 700+ 可浏览主题，图像提取，着色器预览。\n\n网址在图片上 https://t.co/MBOxjbUh0y","[{""type"":""photo"",""url"":""https://t.co/MBOxjbUh0y"",""thumbnail"":""https://pbs.twimg.com/media/HFdacepaUAAo6lQ?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/HFdacepaUAAo6lQ?format=jpg&name=orig""}]","QingQ77","Geek Lite","https://pbs.twimg.com/profile_images/2004028412730789892/4IFUGOl2_normal.jpg","1998006140286935041",,,,"[]",53,4,39,0,1,5323,true,false,true,"https://twitter.com/QingQ77/status/2042396642809188596"
"2042624350432514080","2026-04-10 23:22:49 +08:00","designing out finance component UI modules in a natural earth tone aesthetic using @tenordesign \n\nstart with some inspiration ref images, refine to make it your own. https://t.co/PCoCGs8ZwW","[{""type"":""video"",""url"":""https://t.co/PCoCGs8ZwW"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2042623682577645569/img/RG6SHOMfwVpbn2hE.jpg?name=thumb"",""original"":""https://video.twimg.com/amplify_video/2042623682577645569/vid/avc1/3840x2156/HmjdRU7Ro7K2cb1h.mp4?tag=21""}]","_andresjasso","andres","https://pbs.twimg.com/profile_images/2019819259824611328/gXx9X383_normal.jpg","186638471",,,,"[]",195,8,231,1,10,10645,true,false,true,"https://twitter.com/_andresjasso/status/2042624350432514080"
"2042591872036516056","2026-04-10 21:13:46 +08:00","HTML in Canvas + fragment shader.\n\nShader is applied to the actual interactive html. https://t.co/gIFQ6TZskE","[{""type"":""video"",""url"":""https://t.co/gIFQ6TZskE"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2042591481827835904/img/873HwGVP9cygHQlp.jpg?name=thumb"",""original"":""https://video.twimg.com/amplify_video/2042591481827835904/vid/avc1/3832x2160/BLP7ziNDQNnyStT_.mp4?tag=21""}]","kaolti","Zsolt Kacso","https://pbs.twimg.com/profile_images/1930217738019950592/8vGuK6or_normal.jpg","1371152575270154246",,,,"[]",1282,54,805,6,22,58977,true,false,true,"https://twitter.com/kaolti/status/2042591872036516056"
"2042445100421406775","2026-04-10 11:30:33 +08:00","推荐新的 Agent iOS 远程控制的app - Paseo。\n\n亮点：\n1. 有 Desktop、Mobile、Web、CLI 多端\n2. 可以通过 Relay 注册多台设备\n3. 全部组件开源，允许在 Cloudflare 上自建 Relay Server\n4. 允许远程控制 Terminal\n\n替代了一直在用的 Happy Coder。 https://t.co/CoTlp4nldj","[{""type"":""photo"",""url"":""https://t.co/CoTlp4nldj"",""thumbnail"":""https://pbs.twimg.com/media/HFg4zIsbQAUPmxn?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/HFg4zIsbQAUPmxn?format=jpg&name=orig""}]","9hills","九原客","https://pbs.twimg.com/profile_images/1509120377816969223/qzJBlcuS_normal.jpg","116355740",,,,"[]",378,45,606,4,12,37763,true,false,false,"https://twitter.com/9hills/status/2042445100421406775"
